num_auxiliary,seed,acc_reference,acc_teacher,acc_student_train,acc_student_random,ent_train_aux,ent_random_aux,ent_train_reg,ent_random_reg
3,0,0.1816,0.9393,0.1628,0.6982,0.4991,1.0775,0.2741,2.1112
3,1,0.0818,0.9436,0.1220,0.7092,0.5836,1.0790,0.2594,2.0752
3,2,0.0741,0.9383,0.1221,0.7450,0.7691,1.0798,0.2742,2.0961
3,3,0.1159,0.9385,0.1447,0.7318,0.9549,1.0896,0.2640,2.1067
3,4,0.0718,0.9431,0.1848,0.7690,0.7027,1.0894,0.2598,2.0961
3,5,0.0634,0.9436,0.1130,0.8135,0.7686,1.0900,0.2720,2.0880
3,6,0.0958,0.9384,0.1217,0.8026,0.8938,1.0866,0.2815,2.0977
3,7,0.0731,0.9388,0.1381,0.8180,1.0003,1.0863,0.2850,2.1053
3,8,0.1017,0.9403,0.1076,0.7337,0.8665,1.0870,0.2686,2.1000
3,9,0.1003,0.9442,0.0826,0.7898,0.7001,1.0860,0.2685,2.1038
4,0,0.1770,0.9391,0.1591,0.7853,0.8607,1.3701,0.2809,2.1153
4,1,0.1008,0.9424,0.1739,0.6983,1.1934,1.3751,0.2687,2.0797
4,2,0.0791,0.9366,0.0772,0.7808,0.8822,1.3670,0.2806,2.0951
4,3,0.1148,0.9433,0.1133,0.7870,1.0911,1.3726,0.2609,2.1008
4,4,0.0781,0.9404,0.1316,0.8138,0.4524,1.3572,0.2820,2.0976
4,5,0.0745,0.9406,0.1510,0.8446,1.1531,1.3764,0.2657,2.0924
4,6,0.0907,0.9401,0.2067,0.8098,1.0309,1.3677,0.2574,2.0975
4,7,0.0768,0.9408,0.0973,0.8455,1.2201,1.3752,0.2645,2.0973
4,8,0.1080,0.9382,0.0236,0.8152,1.0122,1.3722,0.2720,2.1030
4,9,0.0966,0.9414,0.2298,0.8272,0.9528,1.3707,0.2779,2.1082
5,0,0.1891,0.9396,0.0897,0.8022,1.1068,1.5940,0.2717,2.1109
5,1,0.0960,0.9398,0.1996,0.7336,1.4280,1.5995,0.2583,2.0764
5,2,0.0738,0.9404,0.1599,0.8406,1.2913,1.5871,0.2789,2.1054
5,3,0.1148,0.9391,0.1627,0.8204,1.1308,1.5961,0.2887,2.1099
5,4,0.0851,0.9387,0.1118,0.8705,0.5167,1.5811,0.2707,2.1001
5,5,0.0634,0.9412,0.1668,0.8595,1.2630,1.5938,0.2775,2.0939
5,6,0.0894,0.9393,0.1971,0.8310,1.1930,1.5916,0.2797,2.1078
5,7,0.0765,0.9420,0.0988,0.8614,1.4224,1.5977,0.2635,2.1004
5,8,0.1139,0.9376,0.1183,0.8655,1.2692,1.5942,0.2670,2.1029
5,9,0.0901,0.9405,0.2345,0.8149,1.1967,1.5940,0.2797,2.0994
6,0,0.1880,0.9365,0.1204,0.8244,1.0892,1.7790,0.2912,2.1159
6,1,0.1003,0.9432,0.1936,0.7987,1.6014,1.7794,0.2605,2.0758
6,2,0.0748,0.9393,0.1015,0.8568,1.4493,1.7747,0.2711,2.1050
6,3,0.1144,0.9387,0.1884,0.8082,1.3958,1.7760,0.2749,2.1124
6,4,0.0624,0.9429,0.1285,0.8635,1.0704,1.7636,0.2648,2.1094
6,5,0.0750,0.9419,0.3150,0.8691,1.5400,1.7789,0.2766,2.0862
6,6,0.0924,0.9411,0.1215,0.8616,1.5120,1.7743,0.2704,2.1005
6,7,0.0771,0.9402,0.0939,0.8901,1.5329,1.7812,0.2831,2.1043
6,8,0.1045,0.9355,0.1276,0.8806,1.5078,1.7753,0.2803,2.1084
6,9,0.0916,0.9406,0.2268,0.8635,1.2711,1.7756,0.2701,2.0975
7,0,0.1805,0.9394,0.1536,0.8419,1.2303,1.9306,0.2838,2.1135
7,1,0.0948,0.9461,0.1182,0.8099,1.7468,1.9336,0.2477,2.0853
7,2,0.0734,0.9398,0.1404,0.8748,1.6212,1.9266,0.2740,2.1110
7,3,0.1145,0.9426,0.2145,0.8575,1.6146,1.9310,0.2596,2.0999
7,4,0.0824,0.9404,0.0457,0.8955,1.0656,1.9167,0.2727,2.1070
7,5,0.0724,0.9416,0.1372,0.8624,1.6239,1.9299,0.2774,2.0949
7,6,0.0912,0.9401,0.1703,0.8674,1.6494,1.9311,0.2724,2.0951
7,7,0.0679,0.9361,0.2048,0.8942,1.6852,1.9276,0.2864,2.1106
7,8,0.0966,0.9382,0.2461,0.8706,1.6779,1.9298,0.2743,2.1044
7,9,0.0982,0.9390,0.1692,0.8971,1.5174,1.9305,0.2640,2.1047
8,0,0.1869,0.9403,0.1696,0.8526,1.3853,2.0650,0.2645,2.1098
8,1,0.0959,0.9435,0.1382,0.8134,1.8223,2.0649,0.2569,2.0724
8,2,0.0799,0.9402,0.2615,0.8595,1.7790,2.0608,0.2731,2.0881
8,3,0.1155,0.9416,0.1820,0.8158,1.6403,2.0636,0.2648,2.1054
8,4,0.0574,0.9359,0.1411,0.8665,1.3876,2.0485,0.2964,2.1055
8,5,0.0799,0.9401,0.2014,0.8806,1.6273,2.0640,0.2763,2.0974
8,6,0.0910,0.9404,0.1687,0.8711,1.7520,2.0640,0.2715,2.0994
8,7,0.0818,0.9404,0.1100,0.8810,1.7775,2.0637,0.2651,2.1011
8,8,0.0947,0.9375,0.1746,0.9091,1.8413,2.0664,0.2807,2.1127
8,9,0.0974,0.9421,0.1973,0.8731,1.5823,2.0630,0.2573,2.0949
9,0,0.1792,0.9376,0.2224,0.8537,1.5858,2.1828,0.2768,2.1112
9,1,0.0980,0.9405,0.2538,0.8485,1.8510,2.1827,0.2658,2.0773
9,2,0.0718,0.9426,0.1430,0.8531,1.7998,2.1781,0.2699,2.0962
9,3,0.1150,0.9408,0.1115,0.8741,1.8268,2.1832,0.2821,2.1071
9,4,0.0822,0.9401,0.1555,0.8682,1.2889,2.1701,0.2747,2.1056
9,5,0.0982,0.9381,0.1822,0.8609,1.7893,2.1819,0.2741,2.0955
9,6,0.0916,0.9402,0.1776,0.8866,1.9221,2.1798,0.2763,2.1079
9,7,0.0686,0.9386,0.1358,0.8588,1.8828,2.1812,0.2719,2.1085
9,8,0.1125,0.9359,0.2044,0.9070,1.9863,2.1837,0.2867,2.1026
9,9,0.0845,0.9406,0.4037,0.8451,1.8282,2.1822,0.2656,2.1048
10,0,0.1866,0.9366,0.2011,0.8705,1.7200,2.2892,0.2873,2.1086
10,1,0.0808,0.9422,0.1915,0.8137,2.1137,2.2886,0.2678,2.0772
10,2,0.0721,0.9412,0.2075,0.8876,1.8153,2.2861,0.2750,2.1111
10,3,0.1144,0.9390,0.2417,0.8586,1.9203,2.2851,0.2819,2.1105
10,4,0.0621,0.9389,0.1931,0.8667,1.5226,2.2728,0.2791,2.0986
10,5,0.0695,0.9389,0.2118,0.8790,1.8096,2.2864,0.2734,2.0988
10,6,0.0952,0.9402,0.2725,0.8763,2.0032,2.2826,0.2710,2.1063
10,7,0.0773,0.9411,0.1241,0.8833,1.9683,2.2843,0.2672,2.1007
10,8,0.1070,0.9364,0.2694,0.9057,2.0120,2.2877,0.2670,2.1067
10,9,0.0969,0.9394,0.3625,0.8700,1.8043,2.2880,0.2859,2.1031
11,0,0.1860,0.9396,0.1843,0.8484,1.7570,2.3809,0.2859,2.1106
11,1,0.0953,0.9426,0.1762,0.8032,2.1009,2.3825,0.2656,2.0710
11,2,0.0721,0.9389,0.2905,0.8982,1.9362,2.3805,0.2773,2.1057
11,3,0.1157,0.9407,0.3116,0.8147,1.9875,2.3816,0.2760,2.1014
11,4,0.0735,0.9390,0.2176,0.8733,1.1810,2.3721,0.2703,2.1039
11,5,0.0721,0.9400,0.2689,0.8628,2.0692,2.3843,0.2717,2.1109
11,6,0.0874,0.9427,0.3191,0.8832,2.0773,2.3806,0.2675,2.1049
11,7,0.0697,0.9412,0.1476,0.8549,1.9772,2.3792,0.2756,2.1053
11,8,0.1201,0.9378,0.2983,0.8988,2.1310,2.3833,0.2826,2.1053
11,9,0.0875,0.9428,0.2340,0.8488,2.0807,2.3822,0.2621,2.1087
12,0,0.1703,0.9391,0.1798,0.8835,1.9728,2.4711,0.2731,2.1134
12,1,0.1000,0.9438,0.2112,0.8416,1.8339,2.4672,0.2588,2.0849
12,2,0.0798,0.9392,0.2259,0.8941,2.0245,2.4690,0.2685,2.1043
12,3,0.1158,0.9430,0.3163,0.8533,2.1126,2.4681,0.2774,2.1054
12,4,0.0824,0.9375,0.1307,0.8712,1.4192,2.4615,0.2851,2.1059
12,5,0.0611,0.9429,0.2875,0.8735,2.0247,2.4668,0.2599,2.0914
12,6,0.0968,0.9415,0.1243,0.8909,2.1809,2.4681,0.2787,2.1057
12,7,0.0792,0.9386,0.0940,0.8694,2.0624,2.4683,0.2722,2.1034
12,8,0.1026,0.9390,0.2788,0.9091,2.2389,2.4700,0.2817,2.1065
12,9,0.0967,0.9454,0.2049,0.8520,2.0664,2.4701,0.2717,2.0965
13,0,0.1868,0.9375,0.1863,0.8579,1.7008,2.5474,0.2810,2.1116
13,1,0.0960,0.9391,0.2232,0.8597,1.8972,2.5452,0.2639,2.0826
13,2,0.0753,0.9387,0.1882,0.8834,2.1077,2.5501,0.2755,2.1052
13,3,0.1153,0.9423,0.3510,0.8725,2.2170,2.5501,0.2594,2.0973
13,4,0.0747,0.9424,0.1287,0.8739,1.7944,2.5400,0.2679,2.0990
13,5,0.0621,0.9413,0.2612,0.8683,2.1390,2.5473,0.2632,2.0872
13,6,0.0948,0.9436,0.2817,0.8917,2.2607,2.5486,0.2701,2.1006
13,7,0.0727,0.9413,0.1324,0.8835,2.1683,2.5473,0.2768,2.1085
13,8,0.1061,0.9395,0.1250,0.9034,2.2996,2.5498,0.2774,2.1060
13,9,0.1022,0.9401,0.2164,0.8744,2.2224,2.5504,0.2759,2.1048
14,0,0.1854,0.9383,0.1407,0.8445,2.0422,2.6219,0.2718,2.1098
14,1,0.0994,0.9400,0.2874,0.8947,1.9062,2.6222,0.2662,2.0885
14,2,0.0750,0.9372,0.2424,0.8890,2.0747,2.6236,0.2822,2.1109
14,3,0.1140,0.9370,0.3372,0.8527,2.2857,2.6227,0.2663,2.1080
14,4,0.0689,0.9392,0.2248,0.8767,2.0102,2.6149,0.2721,2.0967
14,5,0.0777,0.9354,0.2744,0.8762,2.2305,2.6204,0.2749,2.0993
14,6,0.0948,0.9395,0.2476,0.8830,2.2377,2.6236,0.2776,2.1079
1,0,0.1791,0.9371,0.1791,0.1791,0.0000,0.0000,0.2794,2.1107
1,1,0.0934,0.9393,0.0934,0.0934,0.0000,0.0000,0.2773,2.0871
